Season,Round,Team A,Team B,Team A SRS,Team B SRS,Team A ORtg,Team B ORtg,Team A DRtg,Team B DRtg,Winner,Team A Age,Team B Age,Team A W,Team B W,Team A L,Team B L,Team A PW,Team B PW,Team A PL,Team B PL,Team A MOV,Team B MOV,Team A SOS,Team B SOS,Team A NRtg,Team B NRtg,Team A Pace,Team B Pace,Team A FTr,Team B FTr,Team A 3PAr,Team B 3PAr,Team A TS%,Team B TS%
2011,First Round,Los Angeles Lakers,New Orleans Hornets,6.01,1.28,111.0,106.2,104.3,105.2,Los Angeles Lakers,30.2,26.3,57,46,25,36,58,44,24,38,6.11,0.89,-0.1,0.39,6.7,1.0,90.7,88.7,0.293,0.296,0.22,0.192,0.545,0.537
2011,First Round,Memphis Grizzlies,San Antonio Spurs,2.55,5.86,107.6,111.8,105.1,105.6,Memphis Grizzlies,25.2,28.8,46,61,36,21,48,56,34,26,2.34,5.71,0.2,0.16,2.5,6.2,91.9,92.3,0.291,0.299,0.136,0.261,0.534,0.567
2011,First Round,Oklahoma City Thunder,Denver Nuggets,3.81,4.81,111.2,112.3,107.2,107.3,Oklahoma City Thunder,23.7,27.3,55,50,27,32,51,54,31,28,3.79,4.76,0.02,0.05,4.0,5.0,92.7,95.6,0.363,0.367,0.212,0.258,0.561,0.574
2011,Conference Semifinals,Chicago Bulls,Atlanta Hawks,6.53,-1.1,108.3,106.1,100.3,107.0,Chicago Bulls,26.4,27.4,62,44,20,38,61,39,21,43,7.32,-0.82,-0.79,-0.28,8.0,-0.9,90.4,89.3,0.305,0.269,0.215,0.222,0.541,0.542
2011,Conference Semifinals,Miami Heat,Boston Celtics,6.76,4.83,111.7,106.2,103.5,100.3,Miami Heat,29.0,29.5,58,56,24,26,61,57,21,25,7.46,5.37,-0.71,-0.54,8.2,5.9,90.9,90.4,0.363,0.305,0.235,0.18,0.573,0.561
2011,Conference Semifinals,Dallas Mavericks,Los Angeles Lakers,4.41,6.01,109.7,111.0,105.0,104.3,Dallas Mavericks,30.9,30.2,57,57,25,25,53,58,29,24,4.23,6.11,0.18,-0.1,4.7,6.7,91.3,90.7,0.286,0.293,0.274,0.22,0.565,0.545
2011,Conference Semifinals,Oklahoma City Thunder,Memphis Grizzlies,3.81,2.55,111.2,107.6,107.2,105.1,Oklahoma City Thunder,23.7,25.2,55,46,27,36,51,48,31,34,3.79,2.34,0.02,0.2,4.0,2.5,92.7,91.9,0.363,0.291,0.212,0.136,0.561,0.534
2011,Conference Finals,Miami Heat,Chicago Bulls,6.76,6.53,111.7,108.3,103.5,100.3,Miami Heat,29.0,26.4,58,62,24,20,61,61,21,21,7.46,7.32,-0.71,-0.79,8.2,8.0,90.9,90.4,0.363,0.305,0.235,0.215,0.573,0.541
2011,Conference Finals,Dallas Mavericks,Oklahoma City Thunder,4.41,3.81,109.7,111.2,105.0,107.2,Dallas Mavericks,30.9,23.7,57,55,25,27,53,51,29,31,4.23,3.79,0.18,0.02,4.7,4.0,91.3,92.7,0.286,0.363,0.274,0.212,0.565,0.561
2011,NBA Finals,Dallas Mavericks,Miami Heat,4.41,6.76,109.7,111.7,105.0,103.5,Dallas Mavericks,30.9,29.0,57,58,25,24,53,61,29,21,4.23,7.46,0.18,-0.71,4.7,8.2,91.3,90.9,0.286,0.363,0.274,0.235,0.565,0.573
2012,First Round,Boston Celtics,Atlanta Hawks,2.26,2.67,101.0,104.9,98.2,101.2,Boston Celtics,29.3,27.9,39,40,27,26,39,41,27,25,2.52,3.44,-0.26,-0.77,2.8,3.7,90.4,90.2,0.257,0.259,0.194,0.249,0.535,0.535
2012,First Round,Indiana Pacers,Orlando Magic,2.6,0.46,106.7,105.0,103.1,104.1,Indiana Pacers,26.3,27.5,42,37,24,29,41,35,25,31,3.3,0.79,-0.71,-0.33,3.6,0.9,90.7,89.0,0.321,0.292,0.198,0.346,0.526,0.533
2012,First Round,Miami Heat,New York Knicks,5.72,2.39,106.6,104.4,100.2,101.0,Miami Heat,28.3,26.3,46,36,20,30,47,41,19,25,5.98,3.2,-0.27,-0.81,6.4,3.4,91.2,93.2,0.307,0.306,0.198,0.288,0.549,0.533
2012,First Round,Philadelphia 76ers,Chicago Bulls,3.59,7.43,103.9,107.4,99.2,98.3,Philadelphia 76ers,24.9,27.1,35,50,31,16,43,51,23,15,4.24,8.18,-0.65,-0.76,4.7,9.1,89.7,89.1,0.217,0.255,0.175,0.205,0.511,0.523
2012,First Round,Los Angeles Clippers,Memphis Grizzlies,2.82,2.43,108.5,104.0,105.7,101.8,Los Angeles Clippers,27.3,25.6,40,41,26,25,39,38,27,28,2.56,2.02,0.26,0.42,2.8,2.2,89.2,90.8,0.287,0.277,0.269,0.157,0.533,0.515
2012,First Round,Los Angeles Lakers,Denver Nuggets,1.96,3.16,106.0,109.2,104.4,106.2,Los Angeles Lakers,29.7,26.6,41,38,25,28,36,39,30,27,1.42,2.88,0.54,0.29,1.6,3.0,90.5,94.2,0.299,0.326,0.209,0.243,0.534,0.556
2012,First Round,Oklahoma City Thunder,Dallas Mavericks,6.44,1.78,109.8,103.3,103.2,102.3,Oklahoma City Thunder,25.1,31.3,47,36,19,30,46,35,20,31,6.12,0.95,0.32,0.83,6.6,1.0,93.0,91.4,0.334,0.246,0.252,0.271,0.567,0.527
2012,First Round,San Antonio Spurs,Utah Jazz,7.28,0.92,110.9,106.8,103.2,106.1,San Antonio Spurs,27.5,25.6,50,36,16,30,48,34,18,32,7.17,0.62,0.11,0.3,7.7,0.7,92.9,91.4,0.261,0.302,0.257,0.153,0.562,0.525
2012,Conference Semifinals,Boston Celtics,Philadelphia 76ers,2.26,3.59,101.0,103.9,98.2,99.2,Boston Celtics,29.3,24.9,39,35,27,31,39,43,27,23,2.52,4.24,-0.26,-0.65,2.8,4.7,90.4,89.7,0.257,0.217,0.194,0.175,0.535,0.511
2012,Conference Semifinals,Miami Heat,Indiana Pacers,5.72,2.6,106.6,106.7,100.2,103.1,Miami Heat,28.3,26.3,46,42,20,24,47,41,19,25,5.98,3.3,-0.27,-0.71,6.4,3.6,91.2,90.7,0.307,0.321,0.198,0.198,0.549,0.526
2012,Conference Semifinals,Oklahoma City Thunder,Los Angeles Lakers,6.44,1.96,109.8,106.0,103.2,104.4,Oklahoma City Thunder,25.1,29.7,47,41,19,25,46,36,20,30,6.12,1.42,0.32,0.54,6.6,1.6,93.0,90.5,0.334,0.299,0.252,0.209,0.567,0.534
